原料类型,霉变情况,来源情况,预估等级,茶渣_储存时间,果渣_褐变情况,原料是否匹配,等级是否匹配,路线_推荐强度,路线_风险等级,路线_首选目标,路线_适用原料类,路线_适用等级,匹配得分,成本得分,技术得分,碳减排得分,市场得分
茶渣,严重,明确可追溯,差,是,,1,1,中,低,无害化兜底,茶渣,差,8.505639455960274,8,8,8,5
茶渣,轻度,明确可追溯,优,否,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.812338891526291,5,5,5,5
茶渣,无,基本可追溯,差,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.4801349903092795,8,8,8,5
茶渣,严重,来源不明,优,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.801459971450765,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,良,,否,0,0,中,低,无害化兜底,茶渣,差,1.834488209491842,8,8,8,5
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.1670132948749985,8,8,8,5
中药残余废弃物,轻度,来源不明,良,,,1,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,7.239793694278642,5,5,5,5
茶渣,无,基本可追溯,差,是,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,2.3116065013314686,5,5,5,8
花生壳/板栗壳,无,明确可追溯,优,,,0,1,高,中,材料主线,茶渣,优/良,6.145019288471567,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,优,,否,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.171757183069188,8,8,8,5
中药残余废弃物,无,来源不明,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.343758457964131,8,8,8,5
中药残余废弃物,无,基本可追溯,差,,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,2.5134138683370213,5,5,5,8
茶渣,轻度,来源不明,优,否,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.121540785712608,5,5,5,8
茶渣,无,明确可追溯,差,是,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.752599031581171,5,5,5,8
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.455747017130935,5,5,8,5
中药残余废弃物,轻度,来源不明,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.277741462105847,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,优,,否,0,0,中,低,无害化兜底,茶渣,差,1.6093805945682733,8,8,8,5
茶渣,轻度,来源不明,良,否,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.8152614781846683,5,5,5,5
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,差,,是,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.16149749229089005,5,5,5,5
花生壳/板栗壳,无,基本可追溯,良,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,8.759974221899716,8,8,8,5
花生壳/板栗壳,无,基本可追溯,良,,,1,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,9.54774672468504,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,良,,是,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.533154972950799,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,优,,是,0,1,中,高,食品支线,茶渣,优,0.0,5,5,2,5
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,良,,否,1,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.2449427004921031,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,良,,否,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.523932276987127,5,5,5,5
茶渣,轻度,明确可追溯,良,否,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.284729282355801,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,差,,是,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.3191198886267268,5,5,5,5
豆制品/粮食发酵副产物,无,来源不明,差,,,0,1,高,低,材料主线,茶渣,优/良/差,7.392512199726605,5,5,8,8
豆制品/粮食发酵副产物,无,明确可追溯,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.0086254825864085,5,5,8,5
豆制品/粮食发酵副产物,无,基本可追溯,差,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,11.319597643031095,5,5,8,8
中药残余废弃物,轻度,基本可追溯,差,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.0859383393613165,5,5,8,5
中药残余废弃物,严重,基本可追溯,差,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.2692112495244166,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,良,,否,1,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.4085125124938659,5,5,5,8
茶渣,轻度,基本可追溯,差,否,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,1.2350781321745845,5,5,5,5
中药残余废弃物,无,明确可追溯,良,,,0,0,中,高,食品支线,茶渣,优,0.0,5,5,2,5
花生壳/板栗壳,严重,基本可追溯,良,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.090015394755367,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,良,,是,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.258250212573397,8,8,8,5
中药残余废弃物,严重,来源不明,优,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.534667031450465,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,良,,否,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,10.4908461817651,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,优,,否,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.7011074205944077,5,5,5,5
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,优,,否,1,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0,5,5,5,8
茶渣,严重,来源不明,差,是,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.294409841119696,5,5,8,5
茶渣,严重,基本可追溯,优,是,,1,1,中,高,食品支线,茶渣,优,0.0,5,5,2,5
花生壳/板栗壳,无,来源不明,良,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.9546992142645463,5,5,5,5
花生壳/板栗壳,严重,明确可追溯,良,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.433933827759078,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,否,0,1,高,中高,食品支线,葡萄籽,优/良,4.8653241324802075,5,5,5,8
中药残余废弃物,严重,基本可追溯,优,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.558346829270862,5,5,8,8
中药残余废弃物,轻度,基本可追溯,差,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.323278637900081,5,5,8,5
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,1,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,5.272270320030581,5,5,5,5
中药残余废弃物,无,明确可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,5.72843926491544,5,5,5,8
茶渣,严重,来源不明,良,否,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.0109993220826015,5,5,5,8
豆制品/粮食发酵副产物,严重,基本可追溯,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.27655993141497304,5,5,5,8
花生壳/板栗壳,无,基本可追溯,差,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,9.170421633007486,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,优,,是,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.433436274363757,5,5,8,5
中药残余废弃物,无,基本可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.00638920569521,8,8,8,5
茶渣,无,来源不明,良,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.255679440634369,8,8,8,5
豆制品/粮食发酵副产物,轻度,明确可追溯,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.904153856356134,5,5,5,8
豆制品/粮食发酵副产物,严重,明确可追溯,良,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.07663009461745462,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,良,,是,0,0,中,低,无害化兜底,茶渣,差,1.6090634247035118,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,优,,是,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.7541046681246595,5,5,8,8
茶渣,轻度,来源不明,差,是,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.7104284032586605,8,8,8,5
中药残余废弃物,轻度,来源不明,优,,,0,1,高,中,材料主线,茶渣,优/良,5.834059707963032,5,5,5,8
豆制品/粮食发酵副产物,无,明确可追溯,良,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.5687777807960184,5,5,5,5
茶渣,轻度,来源不明,差,否,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.182052167967722,8,8,8,5
花生壳/板栗壳,轻度,明确可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,5.636705278118885,5,5,5,8
花生壳/板栗壳,无,明确可追溯,良,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.325065310488835,5,5,5,8
中药残余废弃物,无,明确可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.149506871082331,5,5,8,5
茶渣,无,基本可追溯,良,是,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.665523532894397,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,是,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.1038061317926315,5,5,8,8
豆制品/粮食发酵副产物,无,明确可追溯,良,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.824720327912498,5,5,5,8
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,1,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.49131255088255976,5,5,5,5
茶渣,严重,来源不明,差,否,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.13250397634126465,5,5,5,8
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,4.874182151152631,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,良,,否,0,1,高,中,材料主线,茶渣,优/良,6.060951983545841,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,是,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.422604296083385,5,5,5,8
花生壳/板栗壳,严重,来源不明,良,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.0078409640222326,5,5,5,8
茶渣,无,明确可追溯,优,否,,0,1,高,中高,食品支线,葡萄籽,优/良,4.680301603476549,5,5,5,8
茶渣,严重,明确可追溯,优,否,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.0,5,5,5,8
花生壳/板栗壳,轻度,基本可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.457397587720617,5,5,8,5
豆制品/粮食发酵副产物,严重,基本可追溯,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.8205311179024484,8,8,8,5
豆制品/粮食发酵副产物,无,明确可追溯,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.128000097149073,5,5,8,8
茶渣,严重,来源不明,良,是,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.691384068867923,5,5,8,8
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.564178481237145,5,5,8,8
豆制品/粮食发酵副产物,严重,来源不明,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.206714276037635,8,8,8,5
花生壳/板栗壳,轻度,明确可追溯,差,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.342901136508029,5,5,8,8
中药残余废弃物,无,基本可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,7.229938662202333,5,5,8,8
中药残余废弃物,无,明确可追溯,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.2680673778864495,5,5,5,8
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.1143216019139244,5,5,5,5
豆制品/粮食发酵副产物,严重,来源不明,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0,5,5,5,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,优,,是,0,1,中,高,食品支线,茶渣,优,2.5859342504512925,5,5,2,5
花生壳/板栗壳,严重,来源不明,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.17766133088600344,5,5,5,5
中药残余废弃物,轻度,基本可追溯,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.220276437186598,8,8,8,5
茶渣,严重,明确可追溯,优,是,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.751515115629369,5,5,8,5
中药残余废弃物,轻度,来源不明,良,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.742384413334961,5,5,5,5
豆制品/粮食发酵副产物,轻度,来源不明,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.258305730198163,5,5,5,8
花生壳/板栗壳,严重,明确可追溯,差,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.853298164936004,5,5,8,8
茶渣,轻度,来源不明,优,是,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.073197614646792,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,良,,否,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.579476801939841,5,5,8,8
花生壳/板栗壳,严重,来源不明,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.493922361885412,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,是,0,1,高,低,材料主线,茶渣,优/良/差,7.448882006184967,5,5,8,8
花生壳/板栗壳,严重,明确可追溯,优,,,0,1,高,中,材料主线,茶渣,优/良,5.555600611037741,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,差,,是,1,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,8.920357929922819,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,是,0,1,高,中,材料主线,茶渣,优/良,5.837187771473686,5,5,5,8
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,0,中,低,无害化兜底,茶渣,差,1.9722031867295828,8,8,8,5
茶渣,严重,明确可追溯,良,否,,1,1,高,中,材料主线,茶渣,优/良,9.635386402403254,5,5,5,8
花生壳/板栗壳,无,基本可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,1.891057120039655,5,5,5,8
中药残余废弃物,轻度,来源不明,良,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.988790897006417,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,良,,是,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,10.311305950095093,5,5,8,5
中药残余废弃物,严重,明确可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.9470838612557495,5,5,8,5
中药残余废弃物,轻度,基本可追溯,良,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.5413840220176316,5,5,5,5
中药残余废弃物,无,明确可追溯,良,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.322782614294901,5,5,8,8
豆制品/粮食发酵副产物,无,明确可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,4.893209346071644,5,5,5,8
中药残余废弃物,严重,来源不明,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.06693216633594,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,良,,否,1,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0,5,5,5,8
中药残余废弃物,轻度,基本可追溯,差,,,0,0,高,中,材料主线,茶渣,优/良,2.6884849490701583,5,5,5,8
豆制品/粮食发酵副产物,严重,来源不明,优,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.858300639576145,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,否,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.1780902599594096,5,5,5,5
中药残余废弃物,无,来源不明,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.981881078551287,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,差,,是,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.343702355998146,8,8,8,5
茶渣,严重,基本可追溯,优,是,,1,1,中,高,食品支线,茶渣,优,0.0,5,5,2,5
中药残余废弃物,严重,基本可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.334803444439676,5,5,8,5
茶渣,轻度,来源不明,优,是,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.865431858121287,8,8,8,5
花生壳/板栗壳,严重,来源不明,优,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,9.415203611811616,8,8,8,5
中药残余废弃物,严重,基本可追溯,差,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.911128356347391,5,5,8,8
豆制品/粮食发酵副产物,严重,来源不明,差,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,10.317617029319912,8,8,8,5
中药残余废弃物,严重,来源不明,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.4738653604664975,8,8,8,5
花生壳/板栗壳,轻度,来源不明,优,,,0,0,中,低,无害化兜底,茶渣,差,2.0890660607748117,8,8,8,5
豆制品/粮食发酵副产物,无,基本可追溯,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.6013167739320355,8,8,8,5
茶渣,轻度,基本可追溯,优,否,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.919790937871407,5,5,8,5
花生壳/板栗壳,轻度,基本可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.493477173138191,5,5,8,5
茶渣,轻度,来源不明,优,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.2631154545727235,8,8,8,5
茶渣,轻度,基本可追溯,差,是,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.5736178284949816,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,差,,否,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.750380784814509,5,5,5,8
茶渣,严重,基本可追溯,差,否,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.11966594633031,5,5,8,5
豆制品/粮食发酵副产物,严重,明确可追溯,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.2646117179929903,8,8,8,5
茶渣,无,来源不明,优,是,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.713405016364673,5,5,8,5
茶渣,无,来源不明,良,是,,1,0,中,低,无害化兜底,茶渣,差,5.694088587884847,8,8,8,5
中药残余废弃物,严重,基本可追溯,优,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.871943557415818,8,8,8,5
茶渣,轻度,明确可追溯,良,是,,0,1,高,中高,食品支线,葡萄籽,优/良,4.887009369603603,5,5,5,8
花生壳/板栗壳,无,基本可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.344583958221351,8,8,8,5
中药残余废弃物,无,明确可追溯,差,,,0,0,高,中,材料主线,茶渣,优/良,3.4101478773878133,5,5,5,8
豆制品/粮食发酵副产物,无,基本可追溯,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.14379781921825,8,8,8,5
中药残余废弃物,轻度,明确可追溯,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.900713092597856,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,良,,是,1,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,8.626674269584605,5,5,5,8
中药残余废弃物,无,基本可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,7.021021238975306,5,5,8,8
中药残余废弃物,无,基本可追溯,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.9682558459950288,8,8,8,5
花生壳/板栗壳,无,明确可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.9000604292853005,5,5,8,5
中药残余废弃物,无,明确可追溯,优,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.46568833131955,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,是,0,0,中,低,无害化兜底,茶渣,差,1.878834697881389,8,8,8,5
中药残余废弃物,无,来源不明,差,,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,3.304415077595691,5,5,5,8
豆制品/粮食发酵副产物,无,基本可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.3358044090014305,5,5,8,5
茶渣,严重,基本可追溯,差,否,,1,1,中,低,无害化兜底,茶渣,差,8.711964540808271,8,8,8,5
花生壳/板栗壳,无,基本可追溯,差,,,0,0,高,中高,食品支线,葡萄籽,优/良,1.9598489928091258,5,5,5,8
中药残余废弃物,严重,明确可追溯,差,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.324210515682488,5,5,8,8
中药残余废弃物,无,基本可追溯,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.434124969516594,5,5,5,8
中药残余废弃物,无,明确可追溯,差,,,0,1,中,低,无害化兜底,茶渣,差,5.125574874535961,8,8,8,5
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.153536569235691,5,5,8,5
茶渣,轻度,明确可追溯,良,否,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.402808919237186,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,良,,否,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.681945670129059,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,良,,是,0,1,高,中高,食品支线,葡萄籽,优/良,0.2875602510280174,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,差,,否,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.160881605956027,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,是,0,0,中,高,食品支线,茶渣,优,0.0,5,5,2,5
花生壳/板栗壳,无,基本可追溯,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.497980033096963,5,5,5,8
